order_book_id,date,volume,prev_close,close,low,high,open,total_turnover
000906.XSHG,2017-01-03,13514568700.0,3826.4674,3862.9526,3831.4687,3864.7957,3831.4687,144915765042.5
000906.XSHG,2017-01-04,15679024900.0,3862.9526,3897.6011,3858.8159,3898.0049,3861.7813,176546242795.7
000906.XSHG,2017-01-05,14978156100.0,3897.6011,3898.0233,3891.8294,3903.9675,3897.0589,163457130562.2
000906.XSHG,2017-01-06,15236158600.0,3898.0233,3876.6682,3875.9505,3899.2884,3897.1878,164795259192.3
000906.XSHG,2017-01-09,14768697300.0,3876.6682,3897.8309,3871.4675,3898.6418,3873.975,162226473423.3
000906.XSHG,2017-01-10,15202984400.0,3897.8309,3889.3386,3887.0951,3904.74,3895.5136,159256108013.3
000906.XSHG,2017-01-11,15391479600.0,3889.3386,3858.7459999999996,3858.678,3897.7225,3885.1006,155082348030.9
000906.XSHG,2017-01-12,13467276900.0,3858.7459999999996,3834.2666,3832.2540000000004,3865.9196,3856.1203,132291363248.9
000906.XSHG,2017-01-13,13779207300.0,3834.2666,3821.8074,3815.9948,3850.7522,3834.5294,143001008681.5
000906.XSHG,2017-01-16,23673748300.0,3821.8074,3791.5195,3717.8641,3815.2155,3815.2155,235410929599.9
000906.XSHG,2017-01-17,11999422600.0,3791.5195,3806.4174,3756.0825,3806.6122,3775.704,128773411457.4
000906.XSHG,2017-01-18,11676540700.0,3806.4174,3814.4765,3795.7712,3829.2157,3801.2455,124085263238.7
000906.XSHG,2017-01-19,11057942500.0,3814.4765,3801.7563,3796.4246,3821.1639,3805.1269,109723809542.0
000906.XSHG,2017-01-20,11101781600.0,3801.7563,3836.8226,3798.1782,3840.9984,3798.7652,119844410470.0
000906.XSHG,2017-01-23,12594723400.0,3836.8226,3853.4507,3841.6485,3868.3559999999998,3841.7402,129220072913.1
000906.XSHG,2017-01-24,11632202900.0,3853.4507,3852.4867,3843.7967,3860.0132,3851.8949,115620779892.9
000906.XSHG,2017-01-25,10135121900.0,3852.4867,3864.3777,3844.5111,3865.3518,3848.6701,106223580812.1
000906.XSHG,2017-01-26,10585912400.0,3864.3777,3882.2192,3866.9429,3887.2793,3866.9429,108433705292.3
000906.XSHG,2017-02-03,9073035200.0,3882.2192,3860.1788,3856.0570000000002,3887.2248,3885.3119,95043043129.4
000906.XSHG,2017-02-06,11427701700.0,3860.1788,3876.7815,3853.5149,3881.5904,3863.0040000000004,123442911709.2
000906.XSHG,2017-02-07,11468269400.0,3876.7815,3870.0857,3855.2879,3881.2556,3874.6952,123708981889.3
000906.XSHG,2017-02-08,12928799800.0,3870.0857,3890.8671,3848.6009,3891.2201,3865.5602,140611877814.6
000906.XSHG,2017-02-09,17028084400.0,3890.8671,3908.6416,3887.1789,3915.9153,3889.2461,177037944563.6
000906.XSHG,2017-02-10,21314585900.0,3908.6416,3923.6471,3908.179,3933.094,3910.0071,209111365680.7
000906.XSHG,2017-02-13,20390959200.0,3923.6471,3948.0537,3927.2694,3950.7004,3927.2694,209958076007.0
000906.XSHG,2017-02-14,17087809500.0,3948.0537,3948.6303,3934.3947,3951.8915,3949.3669,174416351651.3
000906.XSHG,2017-02-15,21171994500.0,3948.6303,3925.655,3919.9912,3958.9673,3946.968,209398429181.2
000906.XSHG,2017-02-16,18335154200.0,3925.655,3949.9365,3922.2419,3950.1354,3925.1312,177595284764.9
000906.XSHG,2017-02-17,19367998800.0,3949.9365,3924.6057,3922.2371,3964.4487,3951.5154,198738865739.3
000906.XSHG,2017-02-20,20675549800.0,3924.6057,3979.3065,3924.782,3980.0951,3924.782,215007207890.4
000906.XSHG,2017-02-21,19373891000.0,3979.3065,3997.599,3980.2745,3998.3946,3983.2713,206897462971.0
000906.XSHG,2017-02-22,19034163500.0,3997.599,4010.4981,3990.2996,4010.6994,3997.5958,204830192963.7
000906.XSHG,2017-02-23,18890300800.0,4010.4981,3997.1538,3979.4631,4014.3520000000003,4008.071,205833162609.9
000906.XSHG,2017-02-24,17179326000.0,3997.1538,3997.9792,3977.2683,3998.0353,3992.1903,185301380198.9
000906.XSHG,2017-02-27,17091717000.0,3997.9792,3966.1079999999997,3961.1621,3997.7381,3995.8142,187842689664.0
000906.XSHG,2017-02-28,13824638600.0,3966.1079999999997,3976.3278,3961.5627,3982.0552,3965.2749,153149513860.9
000906.XSHG,2017-03-01,17574002500.0,3976.3278,3983.9333,3971.9225,3998.7462,3975.0092,192495434496.6
000906.XSHG,2017-03-02,16196224900.0,3983.9333,3958.9899,3957.6384,3994.4814,3989.5682,181969109417.1
000906.XSHG,2017-03-03,14624790500.0,3958.9899,3956.4593,3934.5170000000003,3957.0367,3947.3867,168901207959.9
000906.XSHG,2017-03-06,15034855400.0,3956.4593,3983.3318,3955.7496,3983.7763,3956.8345,179031704636.9
000906.XSHG,2017-03-07,14886963500.0,3983.3318,3990.4572,3973.3887,3990.5554,3983.1669,176814407949.8
000906.XSHG,2017-03-08,14265505900.0,3990.4572,3981.4539,3972.1118,3990.95,3988.4475,164174374823.6
000906.XSHG,2017-03-09,14880936400.0,3981.4539,3953.2559,3940.7912,3974.5726,3974.4401,164039378557.0
000906.XSHG,2017-03-10,12637612700.0,3953.2559,3955.5836,3950.3733,3964.982,3950.3733,152161129819.1
000906.XSHG,2017-03-13,15659655300.0,3955.5836,3991.0177,3937.0139,3991.0177,3953.1719,189690251992.2
000906.XSHG,2017-03-14,13734995800.0,3991.0177,3987.2456,3978.738,3997.9559999999997,3989.938,169865677406.8
000906.XSHG,2017-03-15,13485503900.0,3987.2456,3991.5179,3974.1862,3993.3482,3982.3035,163160263947.4
000906.XSHG,2017-03-16,17498853300.0,3991.5179,4016.4604,4001.0228,4022.9623,4001.0228,209504824708.3
000906.XSHG,2017-03-17,17681926600.0,4016.4604,3976.5538,3972.5194,4023.1137,4019.5820000000003,212280069018.8
000906.XSHG,2017-03-20,15037910500.0,3976.5538,3982.3979,3957.8455,3985.2298,3979.4202,180133368875.6
000906.XSHG,2017-03-21,14670289800.0,3982.3979,3999.1716,3977.3026,3999.4659,3981.8725,189312226146.5
000906.XSHG,2017-03-22,17720926000.0,3999.1716,3983.0177,3962.3582,3997.1409,3981.1212,212197788704.4
000906.XSHG,2017-03-23,17122920800.0,3983.0177,3994.9455,3961.8218,4005.9537,3985.3523,211478897344.0
000906.XSHG,2017-03-24,20919365500.0,3994.9455,4023.6135,3993.2274,4032.3062,3996.2019,241516769168.3
000906.XSHG,2017-03-27,18449811400.0,4023.6135,4008.6567,4004.8184,4037.9814,4022.7234,215997836584.0
000906.XSHG,2017-03-28,14545693400.0,4008.6567,3998.82,3989.3421,4012.5523,4009.1679,172042481102.3
000906.XSHG,2017-03-29,19046575300.0,3998.82,3991.7626,3980.6125,4013.7785,4002.3931,208809180732.3
000906.XSHG,2017-03-30,21288964600.0,3991.7626,3949.5621,3937.1794,3991.8169,3986.3994,224647174650.3
000906.XSHG,2017-03-31,16366026300.0,3949.5621,3969.9205,3943.9462,3970.235,3947.7789,182854823241.5
000906.XSHG,2017-04-05,24041399400.0,3969.9205,4033.9736,3995.4323,4033.9736,3995.4323,271004604767.3
000906.XSHG,2017-04-06,23423814000.0,4033.9736,4045.7978,4027.1093,4050.5314,4039.9935,251759724261.9
000906.XSHG,2017-04-07,24088987400.0,4045.7978,4052.0541,4036.8315,4062.3476,4045.1386,259705455592.3
000906.XSHG,2017-04-10,24441670200.0,4052.0541,4039.8455,4035.7426,4057.5795,4053.0731,273697610296.8
000906.XSHG,2017-04-11,29368388000.0,4039.8455,4061.1722,4001.8835,4063.7622,4038.8389,337657889243.9
000906.XSHG,2017-04-12,29599756400.0,4061.1722,4045.1373,4035.8356,4064.4578,4058.3397,327788634818.6
000906.XSHG,2017-04-13,21769325300.0,4045.1373,4056.4703,4032.3087,4061.3342,4036.401,229067989574.7
000906.XSHG,2017-04-14,23298522900.0,4056.4703,4017.7253,4009.1799,4060.0527,4059.7059999999997,237944319484.3
000906.XSHG,2017-04-17,20469716800.0,4017.7253,3999.31,3973.7521,4006.6651,4004.0269,223208119373.1
000906.XSHG,2017-04-18,19111346400.0,3999.31,3978.3586,3978.2201,4013.0082,3994.5461,218208624301.3
000906.XSHG,2017-04-19,20834971100.0,3978.3586,3952.3333,3918.6629,3972.2526,3965.3587,222627616616.0
000906.XSHG,2017-04-20,19335836500.0,3952.3333,3964.4939,3939.2468,3972.7012,3951.0106,226032751027.0
000906.XSHG,2017-04-21,16529021100.0,3964.4939,3960.1177,3946.0168,3978.3317,3963.9985,187396364382.3
000906.XSHG,2017-04-24,18543215900.0,3960.1177,3901.6593,3880.0739,3949.8237,3949.8237,201364707597.4
000906.XSHG,2017-04-25,15872987700.0,3901.6593,3913.5445,3893.5289,3928.3401,3898.9837,181313381827.8
000906.XSHG,2017-04-26,18168605800.0,3913.5445,3919.8697,3911.8341,3940.6001,3912.8561,212749452794.5
000906.XSHG,2017-04-27,21265621300.0,3919.8697,3924.0266,3860.4683,3928.3116,3908.2515,236302873004.7
000906.XSHG,2017-04-28,16840151900.0,3924.0266,3921.9682,3898.4988,3921.9682,3914.9156,190467002302.3
000906.XSHG,2017-05-02,16308646600.0,3921.9682,3912.0807,3900.2832,3919.9556,3911.1487,185188965036.8
000906.XSHG,2017-05-03,16414507100.0,3912.0807,3897.7815,3885.5132,3918.3469,3906.27,183428397296.7
000906.XSHG,2017-05-04,18089558800.0,3897.7815,3886.828,3871.7424,3910.8042,3887.9563,196901538936.6
000906.XSHG,2017-05-05,18144732900.0,3886.828,3853.2895,3845.8185,3877.2604,3874.1366,198757427907.3
000906.XSHG,2017-05-08,19093184300.0,3853.2895,3813.1721,3801.5239,3845.1279,3839.9867,203196624706.2
000906.XSHG,2017-05-09,13149866200.0,3813.1721,3814.7654,3777.8994,3818.1996,3796.0729,148251784467.8
000906.XSHG,2017-05-10,15472828900.0,3814.7654,3779.6567,3778.7651,3831.5891,3813.0089,173662173345.3
000906.XSHG,2017-05-11,18230720400.0,3779.6567,3792.5752,3731.676,3795.1249,3762.324,189164774802.2
000906.XSHG,2017-05-12,15007209400.0,3792.5752,3814.2126,3782.7396,3820.3595,3785.5182,160128936456.4
000906.XSHG,2017-05-15,13270354400.0,3814.2126,3830.8388,3822.3362,3840.1815,3822.3362,151095169154.2
000906.XSHG,2017-05-16,17866903100.0,3830.8388,3876.8818,3800.2739,3877.0737,3822.0985,196850202509.8
000906.XSHG,2017-05-17,17288374500.0,3876.8818,3864.1228,3862.1053,3888.7002,3870.9491,195142142744.4
000906.XSHG,2017-05-18,14582171500.0,3864.1228,3845.1253,3831.8866,3864.3808,3837.9588,159062906831.5
000906.XSHG,2017-05-19,12654167700.0,3845.1253,3849.5271,3834.3422,3853.4833,3842.3295,143066044503.5
000906.XSHG,2017-05-22,15343369800.0,3849.5271,3839.7327,3821.8103,3867.8003,3844.5634,165122249577.6
000906.XSHG,2017-05-23,18182968000.0,3839.7327,3827.5281,3816.1257,3857.5504,3833.0085,197547306194.3
000906.XSHG,2017-05-24,14168400800.0,3827.5281,3833.8,3777.4411,3833.8,3811.3348,155465386085.6
000906.XSHG,2017-05-25,20140558800.0,3833.8,3893.0179,3822.4798,3896.9296,3823.9347,211985908761.0
000906.XSHG,2017-05-26,16249735200.0,3893.0179,3886.2502,3879.778,3906.5898,3886.7975,178278406390.4
000906.XSHG,2017-05-31,16330751300.0,3886.2502,3893.9788,3884.1602,3923.8094,3907.4405,182190031004.0
000906.XSHG,2017-06-01,16340662900.0,3893.9788,3877.0124,3873.4162,3892.4476,3885.2703,181579030137.2
000906.XSHG,2017-06-02,14153685700.0,3877.0124,3879.3699,3844.8139,3885.2915,3869.623,154413247878.2
000906.XSHG,2017-06-05,13407144400.0,3879.3699,3872.9252,3865.1908,3882.4745,3875.2778,145385303440.2
000906.XSHG,2017-06-06,11287088800.0,3872.9252,3897.1664,3862.6585,3897.1664,3868.1309,131106614451.7
000906.XSHG,2017-06-07,17908602600.0,3897.1664,3951.1306,3894.8766,3953.3503,3897.4945,205931293098.2
000906.XSHG,2017-06-08,15673145200.0,3951.1306,3973.7987,3944.3891,3975.7254,3947.7125,186788629175.4
000906.XSHG,2017-06-09,16329813900.0,3973.7987,3987.9821,3971.9801,3994.7645,3972.808,191275319602.1
000906.XSHG,2017-06-12,15074084200.0,3987.9821,3974.2754,3968.3597,4005.9688,3978.446,187905387341.4
000906.XSHG,2017-06-13,13560130700.0,3974.2754,3994.8932,3965.4061,3997.7765,3968.6914,164976270036.4
000906.XSHG,2017-06-14,14473774600.0,3994.8932,3954.4837,3949.2165,3987.5031,3985.2566,177581754047.2
000906.XSHG,2017-06-15,14762364500.0,3954.4837,3959.3477,3934.7038,3966.1457,3949.5258,179331054654.9
000906.XSHG,2017-06-16,13336530400.0,3959.3477,3949.7462,3946.0451,3965.5422,3953.8793,157749990250.2
000906.XSHG,2017-06-19,13902872600.0,3949.7462,3986.1108,3950.4135,3986.4364,3950.4135,165887573475.7
000906.XSHG,2017-06-20,14663196700.0,3986.1108,3982.0793,3975.3229,3996.3954,3992.5396,175978104358.1
000906.XSHG,2017-06-21,14459025200.0,3982.0793,4017.6164,3978.6314,4017.6573,4000.1488,184004475816.7
000906.XSHG,2017-06-22,20475262800.0,4017.6164,4003.6805,4003.5668,4057.1046,4013.3623,251769125986.6
000906.XSHG,2017-06-23,16863425800.0,4003.6805,4033.2549,3975.3082,4033.3147,3995.5040000000004,207926356786.7
000906.XSHG,2017-06-26,20448417300.0,4033.2549,4088.4484,4037.1779,4089.6613,4037.1779,257064934219.9
000906.XSHG,2017-06-27,15987555200.0,4088.4484,4094.074,4069.0312,4096.9661,4086.0003,198620505466.7
000906.XSHG,2017-06-28,15840033900.0,4094.074,4066.0612,4062.6543,4091.4985,4083.5398,195916283347.1
000906.XSHG,2017-06-29,14362478700.0,4066.0612,4090.0312,4067.7784,4090.1020000000003,4069.2361,182693581898.8
000906.XSHG,2017-06-30,13503125100.0,4090.0312,4092.3013,4066.9789,4094.6446,4075.7733,168821702172.6
000906.XSHG,2017-07-03,15264618200.0,4092.3013,4086.677,4064.3639,4094.5436,4093.393,189462929091.7
000906.XSHG,2017-07-04,15818560900.0,4086.677,4056.1339,4047.4763,4081.9213,4081.8904,202059240246.8
000906.XSHG,2017-07-05,15685406300.0,4056.1339,4096.8648,4044.9932,4097.0956,4047.5522,203392780934.2
000906.XSHG,2017-07-06,18525105900.0,4096.8648,4098.6214,4064.4927,4105.3961,4091.5254,230463394557.5
000906.XSHG,2017-07-07,18306380400.0,4098.6214,4099.7561,4071.5425,4101.1042,4085.0256,217350874953.4
000906.XSHG,2017-07-10,21096290900.0,4099.7561,4094.3540000000003,4086.6442,4110.9217,4092.4795,245616372424.4
000906.XSHG,2017-07-11,19574315600.0,4094.3540000000003,4093.8437,4085.5371,4129.7445,4086.6551,235879716806.3
000906.XSHG,2017-07-12,19786729300.0,4093.8437,4084.9118,4059.1299,4108.6499,4094.57,233049235035.6
000906.XSHG,2017-07-13,20480555900.0,4084.9118,4110.7112,4079.3627,4116.5573,4083.2409,242640421576.5
000906.XSHG,2017-07-14,17190036500.0,4110.7112,4119.8467,4091.5277,4119.8467,4106.017,201765131197.9
000906.XSHG,2017-07-17,28035776900.0,4119.8467,4041.3515,4005.3282,4123.6094,4114.1018,309258236945.0
000906.XSHG,2017-07-18,20118637800.0,4041.3515,4055.7213,4002.4106,4055.7213,4025.0626,225303802503.0
000906.XSHG,2017-07-19,28537970100.0,4055.7213,4128.5376,4046.3059,4129.5837,4048.7009,307237742531.7
000906.XSHG,2017-07-20,23623880900.0,4128.5376,4150.5464,4121.181,4154.5468,4123.559,275022381426.5
000906.XSHG,2017-07-21,20107388000.0,4150.5464,4139.9396,4132.7079,4157.1725,4140.9424,238614950707.2
000906.XSHG,2017-07-24,23216864500.0,4139.9396,4159.5147,4132.6085,4169.2083,4135.6516,269029648921.9
000906.XSHG,2017-07-25,21089636300.0,4159.5147,4137.7242,4126.104,4166.7589,4157.4214,236217416169.3
000906.XSHG,2017-07-26,22507870500.0,4137.7242,4125.017,4102.3509,4153.5692,4140.0786,252229421046.0
000906.XSHG,2017-07-27,24900844200.0,4125.017,4137.4037,4092.4392,4142.3685,4119.5602,282914426765.0
000906.XSHG,2017-07-28,19787927100.0,4137.4037,4151.0364,4122.1882,4154.1748,4127.9119,230666408460.2
000906.XSHG,2017-07-31,26176010500.0,4151.0364,4179.1812,4146.0549,4183.3501,4151.3204,290663351431.0
000906.XSHG,2017-08-01,25362809500.0,4179.1812,4203.2884,4177.6212,4203.3945,4178.9639,290045493678.0
000906.XSHG,2017-08-02,28630539400.0,4203.2884,4189.1915,4187.543,4219.1032,4202.0236,322069535616.7
000906.XSHG,2017-08-03,24631388300.0,4189.1915,4164.4213,4152.96,4194.9344,4182.3932,277874501846.2
000906.XSHG,2017-08-04,28335844600.0,4164.4213,4141.2778,4140.8617,4179.2846,4161.3409,308390966942.8
000906.XSHG,2017-08-07,23280384600.0,4141.2778,4171.2526,4125.7186,4171.8984,4136.5894,248423623476.4
000906.XSHG,2017-08-08,25762236500.0,4171.2526,4175.6773,4163.612,4182.9092,4169.0056,277725153527.0
000906.XSHG,2017-08-09,24002763700.0,4175.6773,4181.4462,4157.2229,4183.6828,4170.8998,261212405403.9
000906.XSHG,2017-08-10,24278459800.0,4181.4462,4159.856,4129.6529,4194.2664,4173.3624,275943435588.8
000906.XSHG,2017-08-11,26824803700.0,4159.856,4080.8804,4077.9002,4142.634,4128.6415,292642631195.2
000906.XSHG,2017-08-14,20515347400.0,4080.8804,4143.3591,4084.8553,4145.3573,4084.8553,253569377136.0
000906.XSHG,2017-08-15,18904852000.0,4143.3591,4156.6221,4139.8517,4167.1596,4143.9741,232376585357.3
000906.XSHG,2017-08-16,19375183900.0,4156.6221,4153.63,4126.8166,4159.1111,4151.2481,240490012939.0
000906.XSHG,2017-08-17,20738113700.0,4153.63,4178.3789,4155.2614,4179.2643,4159.7052,256476891832.6
000906.XSHG,2017-08-18,18773625900.0,4178.3789,4177.7388,4152.3435,4187.3662,4159.4099,234568807472.5
000906.XSHG,2017-08-21,18683486800.0,4177.7388,4201.2606,4184.6899,4201.5909,4184.6899,229645346154.4
000906.XSHG,2017-08-22,18939302200.0,4201.2606,4205.2359,4188.9938,4214.1279,4203.8319,247889509753.9
000906.XSHG,2017-08-23,18057142300.0,4205.2359,4198.455,4184.5779,4216.419,4198.459,218294445594.3
000906.XSHG,2017-08-24,15751495800.0,4198.455,4172.9899,4166.7065,4204.8639,4198.2667,194199535955.0
000906.XSHG,2017-08-25,20549062700.0,4172.9899,4234.8388,4173.5338,4235.791,4173.5338,245396018525.9
000906.XSHG,2017-08-28,28046972600.0,4234.8388,4287.1433,4243.2584,4307.7587,4243.2584,359794140318.6
000906.XSHG,2017-08-29,21593116700.0,4287.1433,4277.5132,4268.1721,4293.7034,4283.5503,270413169215.7
000906.XSHG,2017-08-30,23691251800.0,4277.5132,4285.6976,4276.8781,4295.6933,4276.8781,281748909291.3
000906.XSHG,2017-08-31,22397410400.0,4285.6976,4278.9868,4254.6665,4291.4444,4286.5790000000015,267989857444.0
000906.XSHG,2017-09-01,27976270300.0,4278.9868,4296.1678,4281.5274,4306.6638,4282.0714,323632864109.0
000906.XSHG,2017-09-04,26955034500.0,4296.1678,4315.3874,4281.4816,4316.416,4295.3003,319427929630.4
000906.XSHG,2017-09-05,22019623200.0,4315.3874,4325.9332,4308.4976,4332.0109,4314.7738,265904960368.6
000906.XSHG,2017-09-06,23687695700.0,4325.9332,4326.3263,4303.317,4332.8111,4313.5962,292121802801.9
000906.XSHG,2017-09-07,23094598800.0,4326.3263,4301.5636,4299.8935,4334.0837,4327.0634,290054128024.5
000906.XSHG,2017-09-08,19988809700.0,4301.5636,4301.3161,4284.8368,4319.0713,4300.9855,255870970792.9
000906.XSHG,2017-09-11,22643139700.0,4301.3161,4314.9927,4295.8688,4328.3856,4304.2682,289468388298.7
000906.XSHG,2017-09-12,28607051700.0,4314.9927,4323.8634,4312.0592,4346.1569,4322.1944,377899671621.1
000906.XSHG,2017-09-13,20013322200.0,4323.8634,4335.0981,4309.7135,4337.6003,4320.3046,262775965416.8
000906.XSHG,2017-09-14,22932536400.0,4335.0981,4322.641,4309.5938,4347.4471,4335.7094,288537947490.5
000906.XSHG,2017-09-15,23181123900.0,4322.641,4314.4473,4301.609,4330.1807,4317.5956,287554359395.2
000906.XSHG,2017-09-18,20678500300.0,4314.4473,4332.7701,4314.6967,4346.6437,4314.6967,263511685311.4
000906.XSHG,2017-09-19,20595170800.0,4332.7701,4317.6936,4303.7801,4346.2392,4338.482,263037129273.3
000906.XSHG,2017-09-20,20310202800.0,4317.6936,4336.4563,4311.0165,4341.8115,4314.5718,261575972467.5
000906.XSHG,2017-09-21,21003568500.0,4336.4563,4317.8573,4317.8573,4347.1065,4335.6727,265276517583.1
000906.XSHG,2017-09-22,18585627100.0,4317.8573,4310.3822,4291.7693,4316.9056,4304.8325,231635084248.0
000906.XSHG,2017-09-25,18177822600.0,4310.3822,4279.106,4273.1231,4307.1837,4301.3221,233418585294.5
000906.XSHG,2017-09-26,14963535200.0,4279.106,4287.2275,4270.1919,4287.2275,4272.0737,183550886635.7
000906.XSHG,2017-09-27,16082708200.0,4287.2275,4299.1102,4286.172000000001,4308.6015,4286.2759,204051923009.6
000906.XSHG,2017-09-28,16816996100.0,4299.1102,4297.3505,4291.2603,4306.7085,4298.3691,210065415738.7
000906.XSHG,2017-09-29,16424232200.0,4297.3505,4315.1711,4300.3599,4329.1954,4300.3599,207826557043.3
000906.XSHG,2017-10-09,22195552000.0,4315.1711,4365.922000000001,4359.0059999999985,4398.4435,4389.2004,282610100389.3
000906.XSHG,2017-10-10,19953777200.0,4365.922000000001,4377.1118,4340.8885,4381.3753,4366.379,269459023358.5
000906.XSHG,2017-10-11,19516420400.0,4377.1118,4380.229,4368.9709,4393.0683,4374.1401,265063761321.7
