date,open,close,high,low,volume,symbol
20211213,1.011,1.009,1.016,1.003,953421,159761.SZ
20211214,1.006,0.998,1.007,0.995,294373,159761.SZ
20211215,0.998,0.99,1.006,0.989,290119,159761.SZ
20211216,0.994,0.993,0.999,0.987,198736,159761.SZ
20211217,0.99,0.97,0.99,0.968,308221,159761.SZ
20211220,0.971,0.941,0.972,0.941,249477,159761.SZ
20211221,0.94,0.947,0.951,0.935,223126,159761.SZ
20211222,0.947,0.956,0.959,0.947,231930,159761.SZ
20211223,0.956,0.95,0.96,0.947,203599,159761.SZ
20211224,0.95,0.919,0.951,0.914,474380,159761.SZ
20211227,0.917,0.917,0.928,0.912,245179,159761.SZ
20211228,0.917,0.936,0.938,0.917,238788,159761.SZ
20211229,0.936,0.933,0.939,0.927,176728,159761.SZ
20211230,0.937,0.939,0.946,0.934,238811,159761.SZ
20211231,0.947,0.954,0.956,0.947,259143,159761.SZ
20220104,0.953,0.932,0.963,0.926,253627,159761.SZ
20220105,0.928,0.902,0.928,0.901,268478,159761.SZ
20220106,0.902,0.903,0.906,0.887,263468,159761.SZ
20220107,0.907,0.892,0.908,0.89,253256,159761.SZ
20220110,0.891,0.883,0.892,0.878,311602,159761.SZ
20220111,0.883,0.872,0.895,0.87,273459,159761.SZ
20220112,0.877,0.908,0.909,0.877,299989,159761.SZ
20220113,0.91,0.894,0.91,0.891,272735,159761.SZ
20220114,0.892,0.905,0.911,0.89,244525,159761.SZ
20220117,0.908,0.923,0.931,0.908,369520,159761.SZ
20220118,0.921,0.919,0.931,0.916,295442,159761.SZ
20220119,0.919,0.899,0.919,0.89,271690,159761.SZ
20220120,0.898,0.891,0.905,0.888,261582,159761.SZ
20220121,0.888,0.885,0.9,0.876,206347,159761.SZ
20220124,0.88,0.895,0.898,0.874,301791,159761.SZ
20220125,0.887,0.873,0.898,0.872,242445,159761.SZ
20220126,0.872,0.888,0.889,0.87,247158,159761.SZ
20220127,0.888,0.863,0.889,0.862,250761,159761.SZ
20220128,0.869,0.858,0.877,0.845,247783,159761.SZ
20220207,0.862,0.872,0.889,0.862,251606,159761.SZ
20220208,0.867,0.844,0.872,0.825,290914,159761.SZ
20220209,0.848,0.85,0.852,0.832,290930,159761.SZ
20220210,0.85,0.833,0.85,0.825,251205,159761.SZ
20220211,0.833,0.819,0.842,0.817,304641,159761.SZ
20220214,0.819,0.82,0.831,0.813,280691,159761.SZ
20220215,0.82,0.849,0.849,0.82,346184,159761.SZ
20220216,0.854,0.851,0.862,0.848,257555,159761.SZ
20220217,0.851,0.87,0.874,0.849,255860,159761.SZ
20220218,0.865,0.864,0.867,0.857,207105,159761.SZ
20220221,0.864,0.859,0.866,0.851,211436,159761.SZ
20220222,0.859,0.858,0.859,0.844,210762,159761.SZ
20220223,0.86,0.889,0.889,0.86,246344,159761.SZ
20220224,0.889,0.879,0.898,0.866,237031,159761.SZ
20220225,0.888,0.898,0.908,0.888,205444,159761.SZ
20220228,0.898,0.906,0.908,0.893,249455,159761.SZ
20220301,0.909,0.905,0.917,0.898,208703,159761.SZ
20220302,0.899,0.89,0.899,0.879,186315,159761.SZ
20220303,0.895,0.873,0.895,0.872,259803,159761.SZ
20220304,0.873,0.853,0.877,0.848,239304,159761.SZ
20220307,0.828,0.821,0.841,0.816,291815,159761.SZ
20220308,0.838,0.807,0.838,0.8,296648,159761.SZ
20220309,0.823,0.806,0.823,0.77,161490,159761.SZ
20220310,0.816,0.841,0.852,0.816,309174,159761.SZ
20220311,0.836,0.835,0.836,0.809,257601,159761.SZ
20220314,0.826,0.817,0.834,0.813,210855,159761.SZ
20220315,0.812,0.799,0.833,0.795,305708,159761.SZ
20220316,0.811,0.845,0.845,0.79,203234,159761.SZ
20220317,0.85,0.854,0.871,0.85,227869,159761.SZ
20220318,0.858,0.845,0.86,0.832,211865,159761.SZ
20220321,0.835,0.856,0.865,0.835,235248,159761.SZ
20220322,0.848,0.845,0.858,0.841,217871,159761.SZ
20220323,0.855,0.846,0.855,0.841,213785,159761.SZ
20220324,0.84,0.834,0.841,0.823,214590,159761.SZ
20220325,0.834,0.815,0.836,0.814,223348,159761.SZ
20220328,0.815,0.805,0.815,0.796,247349,159761.SZ
20220329,0.807,0.802,0.817,0.798,230122,159761.SZ
20220330,0.807,0.837,0.837,0.807,309087,159761.SZ
20220331,0.829,0.815,0.841,0.811,249632,159761.SZ
20220401,0.811,0.821,0.832,0.806,246533,159761.SZ
20220406,0.82,0.803,0.82,0.796,296162,159761.SZ
20220407,0.797,0.792,0.806,0.791,256120,159761.SZ
20220408,0.792,0.791,0.802,0.779,263823,159761.SZ
20220411,0.791,0.752,0.795,0.716,352886,159761.SZ
20220412,0.753,0.756,0.757,0.74,257281,159761.SZ
20220413,0.75,0.745,0.755,0.741,286235,159761.SZ
20220414,0.746,0.749,0.755,0.736,221813,159761.SZ
20220415,0.741,0.736,0.749,0.724,257437,159761.SZ
20220418,0.732,0.748,0.75,0.721,249774,159761.SZ
20220419,0.752,0.742,0.756,0.737,272517,159761.SZ
20220420,0.738,0.718,0.738,0.715,204555,159761.SZ
20220421,0.718,0.689,0.72,0.688,290333,159761.SZ
20220422,0.686,0.689,0.696,0.683,278745,159761.SZ
20220425,0.689,0.638,0.689,0.637,298249,159761.SZ
20220426,0.637,0.631,0.651,0.629,182857,159761.SZ
20220427,0.625,0.681,0.682,0.623,304706,159761.SZ
20220428,0.681,0.68,0.692,0.668,334703,159761.SZ
20220429,0.68,0.71,0.713,0.677,320738,159761.SZ
20220505,0.709,0.708,0.716,0.692,243672,159761.SZ
20220506,0.701,0.695,0.705,0.691,225889,159761.SZ
20220509,0.69,0.696,0.701,0.687,198568,159761.SZ
20220510,0.69,0.71,0.719,0.684,249290,159761.SZ
20220511,0.714,0.741,0.756,0.711,329109,159761.SZ
20220512,0.736,0.736,0.742,0.73,173418,159761.SZ
20220513,0.736,0.739,0.745,0.734,95034,159761.SZ
20220516,0.746,0.734,0.755,0.733,275643,159761.SZ
20220517,0.735,0.758,0.762,0.735,298295,159761.SZ
20220518,0.758,0.76,0.765,0.753,241216,159761.SZ
20220519,0.753,0.777,0.777,0.75,313256,159761.SZ
20220520,0.777,0.785,0.79,0.772,195138,159761.SZ
20220523,0.784,0.779,0.784,0.769,215074,159761.SZ
20220524,0.776,0.754,0.784,0.752,272843,159761.SZ
20220525,0.751,0.755,0.76,0.746,208303,159761.SZ
20220526,0.757,0.757,0.764,0.744,260888,159761.SZ
20220527,0.76,0.759,0.776,0.754,95756,159761.SZ
20220530,0.766,0.769,0.77,0.76,235857,159761.SZ
20220531,0.773,0.781,0.786,0.765,262676,159761.SZ
20220601,0.782,0.793,0.796,0.776,263726,159761.SZ
20220602,0.793,0.81,0.812,0.786,251006,159761.SZ
20220606,0.815,0.847,0.851,0.81,245596,159761.SZ
20220607,0.855,0.84,0.855,0.835,207000,159761.SZ
20220608,0.84,0.841,0.846,0.82,303147,159761.SZ
20220609,0.841,0.829,0.844,0.825,224723,159761.SZ
20220610,0.827,0.854,0.855,0.826,271083,159761.SZ
20220613,0.849,0.859,0.865,0.849,246494,159761.SZ
20220614,0.859,0.859,0.86,0.835,279148,159761.SZ
20220615,0.859,0.861,0.876,0.848,200893,159761.SZ
20220616,0.868,0.865,0.876,0.862,249257,159761.SZ
20220617,0.86,0.895,0.896,0.86,290747,159761.SZ
20220620,0.899,0.909,0.923,0.899,221117,159761.SZ
20220621,0.909,0.898,0.91,0.888,265669,159761.SZ
20220622,0.899,0.895,0.911,0.894,278303,159761.SZ
20220623,0.903,0.915,0.917,0.889,229595,159761.SZ
20220624,0.915,0.94,0.943,0.915,240682,159761.SZ
20220627,0.94,0.945,0.955,0.939,255192,159761.SZ
20220628,0.944,0.966,0.968,0.937,269798,159761.SZ
20220629,0.965,0.934,0.966,0.933,248147,159761.SZ
20220630,0.934,0.954,0.962,0.934,261079,159761.SZ
20220701,0.956,0.953,0.965,0.945,224921,159761.SZ
20220704,0.953,0.969,0.97,0.938,321877,159761.SZ
20220705,0.969,0.971,0.984,0.955,215581,159761.SZ
20220706,0.967,0.957,0.976,0.947,259436,159761.SZ
20220707,0.96,0.974,0.976,0.952,275069,159761.SZ
20220708,0.974,0.952,0.982,0.952,239361,159761.SZ
20220711,0.952,0.917,0.952,0.906,322748,159761.SZ
20220712,0.923,0.908,0.929,0.9,248436,159761.SZ
20220713,0.901,0.92,0.925,0.892,262250,159761.SZ
20220714,0.919,0.939,0.945,0.882,247910,159761.SZ
20220715,0.955,0.922,0.955,0.922,211184,159761.SZ
20220718,0.911,0.926,0.931,0.906,250315,159761.SZ
20220719,0.926,0.911,0.926,0.907,244864,159761.SZ
20220720,0.912,0.913,0.925,0.91,220217,159761.SZ
20220721,0.913,0.907,0.923,0.906,245005,159761.SZ
20220722,0.911,0.904,0.915,0.897,227302,159761.SZ
20220725,0.902,0.893,0.906,0.889,208242,159761.SZ
20220726,0.895,0.902,0.91,0.889,217489,159761.SZ
20220727,0.894,0.903,0.905,0.891,200873,159761.SZ
20220728,0.908,0.895,0.909,0.89,243128,159761.SZ
20220729,0.898,0.879,0.899,0.878,222525,159761.SZ
20220801,0.877,0.899,0.901,0.87,235862,159761.SZ
20220802,0.899,0.883,0.899,0.875,243127,159761.SZ
20220803,0.882,0.868,0.899,0.865,234561,159761.SZ
20220804,0.873,0.869,0.88,0.858,213437,159761.SZ
20220805,0.871,0.886,0.888,0.869,239785,159761.SZ
20220808,0.886,0.888,0.889,0.877,196099,159761.SZ
20220809,0.891,0.902,0.904,0.888,228855,159761.SZ
20220810,0.897,0.889,0.898,0.885,211254,159761.SZ
20220811,0.89,0.9,0.902,0.877,221003,159761.SZ
20220812,0.9,0.892,0.9,0.892,233646,159761.SZ
20220815,0.891,0.91,0.918,0.891,246827,159761.SZ
20220816,0.919,0.91,0.92,0.907,247062,159761.SZ
20220817,0.91,0.908,0.913,0.896,243069,159761.SZ
20220818,0.903,0.906,0.911,0.903,218785,159761.SZ
20220819,0.903,0.88,0.904,0.88,202857,159761.SZ
20220822,0.877,0.9,0.901,0.87,198124,159761.SZ
20220823,0.902,0.897,0.906,0.89,207720,159761.SZ
20220824,0.899,0.869,0.902,0.866,257764,159761.SZ
20220825,0.874,0.857,0.875,0.845,240866,159761.SZ
20220826,0.861,0.85,0.863,0.847,212854,159761.SZ
20220829,0.85,0.842,0.85,0.836,217537,159761.SZ
20220830,0.84,0.837,0.845,0.831,210075,159761.SZ
20220831,0.831,0.811,0.834,0.809,235580,159761.SZ
20220901,0.811,0.807,0.821,0.805,186507,159761.SZ
20220902,0.808,0.806,0.812,0.798,203296,159761.SZ
20220905,0.806,0.805,0.809,0.797,383407,159761.SZ
20220906,0.809,0.822,0.822,0.8,247351,159761.SZ
20220907,0.822,0.833,0.84,0.819,263829,159761.SZ
20220908,0.833,0.823,0.833,0.821,259131,159761.SZ
20220909,0.822,0.831,0.832,0.817,221165,159761.SZ
20220913,0.834,0.829,0.834,0.822,232380,159761.SZ
20220914,0.829,0.817,0.829,0.81,197270,159761.SZ
20220915,0.814,0.784,0.817,0.777,219057,159761.SZ
20220916,0.788,0.774,0.788,0.773,262163,159761.SZ
20220919,0.774,0.772,0.783,0.769,243430,159761.SZ
20220920,0.777,0.783,0.795,0.777,204153,159761.SZ
20220921,0.783,0.777,0.786,0.771,244754,159761.SZ
20220922,0.776,0.77,0.78,0.763,227338,159761.SZ
20220923,0.771,0.764,0.776,0.755,254091,159761.SZ
20220926,0.765,0.77,0.783,0.758,247736,159761.SZ
20220927,0.769,0.774,0.774,0.761,247509,159761.SZ
20220928,0.773,0.743,0.773,0.743,270631,159761.SZ
20220929,0.743,0.756,0.761,0.743,252193,159761.SZ
20220930,0.754,0.735,0.756,0.735,245898,159761.SZ
20221010,0.735,0.713,0.735,0.71,190988,159761.SZ
20221011,0.711,0.725,0.727,0.711,228046,159761.SZ
20221012,0.726,0.744,0.745,0.706,255669,159761.SZ
20221013,0.745,0.736,0.748,0.735,190125,159761.SZ
20221014,0.742,0.757,0.762,0.733,239846,159761.SZ
20221017,0.757,0.752,0.757,0.738,247606,159761.SZ
20221018,0.754,0.75,0.758,0.746,98318,159761.SZ
20221019,0.749,0.742,0.76,0.741,245173,159761.SZ
20221020,0.74,0.73,0.74,0.718,247528,159761.SZ
20221021,0.73,0.725,0.73,0.721,253914,159761.SZ
20221024,0.725,0.718,0.735,0.71,247737,159761.SZ
20221025,0.711,0.721,0.732,0.706,224788,159761.SZ
20221026,0.726,0.727,0.736,0.716,197596,159761.SZ
20221027,0.733,0.721,0.738,0.719,198448,159761.SZ
20221028,0.72,0.69,0.72,0.689,271343,159761.SZ
20221031,0.686,0.688,0.7,0.68,290508,159761.SZ
20221101,0.688,0.714,0.714,0.688,372983,159761.SZ
20221102,0.715,0.723,0.727,0.709,252669,159761.SZ
20221103,0.72,0.722,0.73,0.716,291394,159761.SZ
20221104,0.715,0.754,0.757,0.715,337866,159761.SZ
20221107,0.754,0.762,0.768,0.754,248469,159761.SZ
20221108,0.762,0.758,0.77,0.75,283061,159761.SZ
20221109,0.757,0.745,0.758,0.745,303100,159761.SZ
20221110,0.745,0.73,0.745,0.724,275393,159761.SZ
20221111,0.746,0.746,0.755,0.739,275671,159761.SZ
20221114,0.741,0.732,0.752,0.729,294401,159761.SZ
20221115,0.732,0.752,0.753,0.73,289747,159761.SZ
20221116,0.753,0.741,0.753,0.735,261345,159761.SZ
20221117,0.74,0.728,0.74,0.718,275875,159761.SZ
20221118,0.727,0.723,0.734,0.721,263702,159761.SZ
20221121,0.72,0.726,0.728,0.715,263856,159761.SZ
20221122,0.721,0.711,0.722,0.708,405012,159761.SZ
20221123,0.708,0.716,0.721,0.705,283007,159761.SZ
20221124,0.715,0.718,0.724,0.715,211610,159761.SZ
20221125,0.715,0.707,0.715,0.706,243434,159761.SZ
20221128,0.704,0.7,0.704,0.687,229290,159761.SZ
20221129,0.7,0.707,0.712,0.699,268266,159761.SZ
20221130,0.707,0.704,0.71,0.701,281727,159761.SZ
20221201,0.712,0.721,0.728,0.711,268468,159761.SZ
20221202,0.72,0.721,0.727,0.719,285929,159761.SZ
20221205,0.722,0.716,0.725,0.712,309188,159761.SZ
20221206,0.712,0.725,0.731,0.71,264319,159761.SZ
20221207,0.725,0.735,0.742,0.725,287515,159761.SZ
20221208,0.73,0.737,0.741,0.728,254674,159761.SZ
20221209,0.737,0.739,0.739,0.732,247543,159761.SZ
20221212,0.739,0.727,0.739,0.727,242944,159761.SZ
20221213,0.729,0.718,0.729,0.716,286134,159761.SZ
20221214,0.723,0.715,0.723,0.713,240906,159761.SZ
20221215,0.714,0.727,0.729,0.712,253782,159761.SZ
20221216,0.725,0.714,0.725,0.712,262466,159761.SZ
20221219,0.717,0.712,0.727,0.71,211458,159761.SZ
