date,open,close,high,low,volume,symbol
20230914,0.993,0.986,0.993,0.98,1844869,563300.SH
20230915,0.987,0.987,0.994,0.982,989807,563300.SH
20230918,0.987,0.994,0.996,0.98,1137413,563300.SH
20230919,0.993,0.983,0.993,0.98,632117,563300.SH
20230920,0.98,0.972,0.982,0.971,1065426,563300.SH
20230921,0.969,0.964,0.974,0.962,465599,563300.SH
20230922,0.962,0.984,0.984,0.959,922011,563300.SH
20230925,0.98,0.982,0.987,0.977,543716,563300.SH
20230926,0.979,0.979,0.984,0.976,670257,563300.SH
20230927,0.979,0.981,0.988,0.974,608291,563300.SH
20230928,0.986,0.994,0.996,0.985,870468,563300.SH
20231009,0.99,0.992,0.994,0.986,943219,563300.SH
20231010,0.993,0.988,0.996,0.987,737504,563300.SH
20231011,0.991,0.991,0.995,0.984,704797,563300.SH
20231012,1.0,0.996,1.0,0.989,565600,563300.SH
20231013,0.994,0.99,0.994,0.989,384682,563300.SH
20231016,0.983,0.983,0.992,0.979,484358,563300.SH
20231017,0.983,0.98,0.983,0.973,409933,563300.SH
20231018,0.976,0.962,0.976,0.96,782426,563300.SH
20231019,0.958,0.957,0.97,0.953,598308,563300.SH
20231020,0.953,0.946,0.96,0.942,827267,563300.SH
20231023,0.938,0.919,0.941,0.915,817938,563300.SH
20231024,0.925,0.94,0.944,0.919,673912,563300.SH
20231025,0.947,0.958,0.961,0.941,543877,563300.SH
20231026,0.953,0.964,0.966,0.942,748132,563300.SH
20231027,0.96,0.975,0.979,0.957,713364,563300.SH
20231030,0.974,0.985,0.987,0.971,687282,563300.SH
20231031,0.984,0.976,0.986,0.974,631647,563300.SH
20231101,0.979,0.982,0.985,0.977,751708,563300.SH
20231102,0.982,0.972,0.988,0.971,515970,563300.SH
20231103,0.972,0.984,0.987,0.972,466662,563300.SH
20231106,0.989,1.005,1.005,0.986,830507,563300.SH
20231107,1.001,1.014,1.017,1.001,817216,563300.SH
20231108,1.014,1.02,1.022,1.011,652998,563300.SH
20231109,1.024,1.014,1.024,1.009,769732,563300.SH
20231110,1.01,1.009,1.013,1.003,683519,563300.SH
20231113,1.013,1.023,1.024,1.011,598274,563300.SH
20231114,1.02,1.028,1.03,1.019,700586,563300.SH
20231115,1.045,1.036,1.045,1.03,753869,563300.SH
20231116,1.036,1.033,1.039,1.028,768214,563300.SH
20231117,1.028,1.042,1.044,1.027,623624,563300.SH
20231120,1.044,1.05,1.054,1.04,1013635,563300.SH
20231121,1.052,1.043,1.054,1.04,825407,563300.SH
20231122,1.038,1.034,1.048,1.032,548697,563300.SH
20231123,1.034,1.043,1.044,1.027,818097,563300.SH
20231124,1.041,1.026,1.041,1.022,939899,563300.SH
